time,CS1_waiting_num,CS1_charging_num,CS1_waiting_time,CS2_waiting_num,CS2_charging_num,CS2_waiting_time,CS3_waiting_num,CS3_charging_num,CS3_waiting_time,CS4_waiting_num,CS4_charging_num,CS4_waiting_time,CS5_waiting_num,CS5_charging_num,CS5_waiting_time,CS6_waiting_num,CS6_charging_num,CS6_waiting_time,CS7_waiting_num,CS7_charging_num,CS7_waiting_time,CS8_waiting_num,CS8_charging_num,CS8_waiting_time,CS0_waiting_num,CS0_charging_num,CS0_waiting_time,CS9_waiting_num,CS9_charging_num,CS9_waiting_time
2.78,0,0,0,0,0,0.14499999999999824,0,2,0.46999999999999775,0,0,1.4700000000000089,0,0,0.7649999999999995,0,0,0,0,1,0,0,1,0.49624999999999897,0.0,0.0,6.781666666666723,5.0,8.0,0.0
2.79,0,0,0,0,0,0.13499999999999823,0,2,0.45999999999999774,0,0,1.4600000000000088,0,0,0.7549999999999994,0,0,0,0,1,0,0,1,0.48624999999999896,0.0,0.0,6.771666666666723,5.0,8.0,0.0
2.8,0,0,0,0,0,0.12499999999999824,0,2,0.44999999999999774,0,0,1.4500000000000088,0,0,0.7449999999999994,0,0,0,0,1,0,0,1,0.47624999999999895,0.0,0.0,6.761666666666724,5.0,8.0,0.0
2.81,0,0,0,0,0,0.11499999999999824,0,2,0.4399999999999977,0,0,1.4400000000000088,0,0,0.7349999999999994,0,0,0,0,1,0,0,1,0.46624999999999894,0.0,0.0,6.751666666666724,5.0,8.0,0.0
2.82,0,0,0,0,0,0.10499999999999825,0,2,0.4299999999999977,0,0,1.4300000000000088,0,0,0.7249999999999994,0,0,0,0,1,0,0,1,0.45624999999999893,0.0,0.0,6.741666666666724,5.0,8.0,0.0
2.83,0,0,0,0,0,0.09499999999999825,0,2,0.4199999999999977,0,0,1.4200000000000088,0,0,0.7149999999999994,0,0,0,0,1,0,0,1,0.4462499999999989,0.0,0.0,6.731666666666724,5.0,8.0,0.0
2.84,0,0,0,0,0,0.08499999999999826,0,2,0.4099999999999977,0,0,1.4100000000000088,0,0,0.7049999999999994,0,0,0,0,1,0,0,1,0.4362499999999989,0.0,0.0,6.721666666666724,5.0,8.0,0.0
2.85,0,0,0,0,0,0.07499999999999826,0,2,0.3999999999999977,0,0,1.4000000000000088,0,0,0.6949999999999994,0,0,0,0,1,0,0,1,0.4262499999999989,0.0,0.0,6.711666666666725,5.0,8.0,0.0
2.86,0,0,0,0,0,0.06499999999999827,0,2,0.3899999999999977,0,0,1.3900000000000088,0,0,0.6849999999999994,0,0,0,0,1,0,0,1,0.4162499999999989,0.0,0.0,6.701666666666725,5.0,8.0,0.0
2.87,0,0,0,0,0,0.054999999999998266,0,2,0.3799999999999977,0,0,1.3800000000000088,0,0,0.6749999999999994,0,0,0,0,0,0,0,1,0.4062499999999989,0.0,0.0,6.691666666666725,5.0,8.0,0.0
2.88,0,0,0,0,0,0.044999999999998264,0,2,0.36999999999999766,0,0,1.3700000000000088,0,0,0.6649999999999994,0,0,0,0,0,0,0,1,0.3962499999999989,0.0,0.0,6.681666666666725,5.0,8.0,0.0
2.89,0,0,0,0,0,0.03499999999999826,0,2,0.35999999999999766,0,0,1.3600000000000088,0,0,0.6549999999999994,0,0,0,0,0,0,0,1,0.38624999999999887,0.0,0.0,6.6716666666667255,5.0,8.0,0.0
2.9,0,0,0,0,0,0.02499999999999826,0,2,0.34999999999999765,0,0,1.3500000000000087,0,0,0.6449999999999994,0,0,0,0,0,0,0,1,0.37624999999999886,0.0,0.0,6.661666666666726,5.0,8.0,0.0
2.91,0,0,0,0,0,0.06499999999999827,1,2,0.33999999999999764,0,0,1.3400000000000087,0,0,0.6349999999999993,0,0,0,0,0,0,0,1,0.36624999999999885,0.0,0.0,6.651666666666726,5.0,8.0,0.0
2.92,0,0,0,0,0,0.054999999999998266,1,1,0.32999999999999763,0,0,1.3300000000000087,0,0,0.6249999999999993,0,0,0,0,0,0,0,1,0.35624999999999885,0.0,0.0,6.641666666666726,5.0,8.0,0.0
2.93,0,0,0,0,0,0.044999999999998264,0,2,0.3199999999999976,0,0,1.3200000000000087,0,0,0.6149999999999993,0,0,0,0,0,0,0,1,0.34624999999999884,0.0,0.0,6.631666666666726,5.0,8.0,0.0
2.94,0,0,0,0,0,0.03499999999999826,0,2,0.3099999999999976,0,0,1.3100000000000087,0,0,0.6049999999999993,0,0,0,0,0,0,0,1,0.3362499999999988,0.0,0.0,6.6216666666667265,5.0,8.0,0.0
2.95,0,0,0,0,0,0.02499999999999826,0,2,0.2999999999999976,0,0,1.3000000000000087,0,0,0.5949999999999993,0,0,0,0,0,0,0,1,0.3262499999999988,0.0,0.0,6.611666666666727,5.0,8.0,0.0
2.96,0,0,0,0,0,0.01499999999999826,0,2,0.2899999999999976,0,0,1.2900000000000087,0,0,0.5849999999999993,0,0,0,0,0,0,0,1,0.3162499999999988,0.0,0.0,6.601666666666727,5.0,8.0,0.0
2.97,0,0,0,0,0,0,0,1,0.2799999999999976,0,0,1.2800000000000087,0,0,0.5749999999999993,0,0,0,0,0,0,0,1,0.3062499999999988,0.0,0.0,6.591666666666727,5.0,8.0,0.0
2.98,0,0,0,0,0,0.16374999999999817,0,2,0.2699999999999976,0,0,1.2700000000000087,0,0,0.5649999999999993,0,0,0,0,0,0,0,1,0.2962499999999988,0.0,0.0,6.581666666666727,5.0,8.0,0.0
2.99,0,0,0,0,0,0.15374999999999817,0,2,0.25999999999999757,0,0,1.2600000000000087,0,0,0.5549999999999993,0,0,0,0,0,0,0,1,0.2862499999999988,0.0,0.0,6.571666666666728,5.0,8.0,0.0
3.0,0,0,0,0,0,0.14374999999999816,0,2,0.24999999999999756,0,0,1.2500000000000087,0,0,0.5449999999999993,0,0,0,0,0,0,0,1,0.2762499999999988,0.0,0.0,6.561666666666728,5.0,8.0,0.0
3.01,0,0,0,0,0,0.13374999999999815,0,2,0.23999999999999755,0,0,1.2400000000000087,0,0,0.5349999999999993,0,0,0,0,0,0,0,1,0.26624999999999877,0.0,0.0,6.551666666666728,5.0,8.0,0.0
3.02,0,0,0,0,0,0.12374999999999815,0,2,0.22999999999999754,0,0,1.2300000000000086,0,0,0.5249999999999992,0,0,0,0,0,0,0,1,0.25624999999999876,0.0,0.0,6.541666666666728,5.0,7.0,0.0
